"ANO_EXERCICIO","COD_REFERENCIA","COD_ESFE","COD_ORUN_O","PRD_TBO0ORUN_1_TIT_CLASSIFICADOR","COD_ORUN_U","PRD_TBO0ORUN_TIT_CLASSIFICADOR","COD_FUNC","PRD_TBO0FUNC_TIT_CLASSIFICADOR","COD_SBFU","PRD_TBO0SBFU_TIT_CLASSIFICADOR","COD_PROG","PRD_TBO0PROG_TIT_CLASSIFICADOR","COD_ACAO","NOM_ACAO","COD_LOCG","NOM_LOCG","COD_BEMS","DES_BEM_SERVICO","COD_UNIDADE_MED","TIT_UNIDADE_MED"
2008,828128,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1067","Gestão da Política de Educação","20140000","Gerenciamento da Política Nacional de Educação",,,"0000","-",205,"-"
2008,830651,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1067","Gestão da Política de Educação","20140000","Gerenciamento da Política Nacional de Educação","20140001","Nacional","0000","-",205,"-"
2008,846122,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1067","Gestão da Política de Educação","22720000","Gestão e Administração do Programa",,,"0000","-",205,"-"
2008,848562,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1067","Gestão da Política de Educação","22720000","Gestão e Administração do Programa","22720001","Nacional","0000","-",205,"-"
2008,828129,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1067","Gestão da Política de Educação","40810000","Gerenciamento das Políticas da Educação a Distância",,,"0000","-",205,"-"
2008,830652,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1067","Gestão da Política de Educação","40810000","Gerenciamento das Políticas da Educação a Distância","40810001","Nacional","0000","-",205,"-"
2008,828092,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1067","Gestão da Política de Educação","40820000","Gerenciamento das Políticas da Educação Especial",,,"0000","-",205,"-"
2008,830679,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1067","Gestão da Política de Educação","40820000","Gerenciamento das Políticas da Educação Especial","40820001","Nacional","0000","-",205,"-"
2008,828096,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1067","Gestão da Política de Educação","40830000","Gerenciamento das Políticas do Ensino Superior",,,"0000","-",205,"-"
2008,830682,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1067","Gestão da Política de Educação","40830000","Gerenciamento das Políticas do Ensino Superior","40830001","Nacional","0000","-",205,"-"
2008,846126,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1067","Gestão da Política de Educação","82410000","Gerenciamento das Políticas de Educação Continuada, Alfabetização e Diversidade",,,"0000","-",205,"-"
2008,848566,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1067","Gestão da Política de Educação","82410000","Gerenciamento das Políticas de Educação Continuada, Alfabetização e Diversidade","82410001","Nacional","0000","-",205,"-"
2008,846127,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1067","Gestão da Política de Educação","82550000","Gerenciamento das Políticas da Educação Profissional",,,"0000","-",205,"-"
2008,848567,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1067","Gestão da Política de Educação","82550000","Gerenciamento das Políticas da Educação Profissional","82550001","Nacional","0000","-",205,"-"
2008,846120,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1067","Gestão da Política de Educação","83730000","Gerenciamento das Políticas da Educação Básica",,,"0000","-",205,"-"
2008,848560,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1067","Gestão da Política de Educação","83730000","Gerenciamento das Políticas da Educação Básica","83730001","Nacional","0000","-",205,"-"
2008,846147,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1073","Brasil Universitário","22720000","Gestão e Administração do Programa",,,"0000","-",205,"-"
2008,848599,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1073","Brasil Universitário","22720000","Gestão e Administração do Programa","22720001","Nacional","0000","-",205,"-"
2008,846342,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1374","Desenvolvimento da Educação Especial","22720000","Gestão e Administração do Programa",,,"0000","-",205,"-"
2008,848794,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1374","Desenvolvimento da Educação Especial","22720000","Gestão e Administração do Programa","22720001","Nacional","0000","-",205,"-"
2008,846441,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1377","Educação para a Diversidade e Cidadania","22720000","Gestão e Administração do Programa",,,"0000","-",205,"-"
2008,848900,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1377","Educação para a Diversidade e Cidadania","22720000","Gestão e Administração do Programa","22720001","Nacional","0000","-",205,"-"
2008,896865,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1448","Qualidade na Escola","22720000","Gestão e Administração do Programa",,,"0000","-",205,"-"
2008,896866,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","122","Administração Geral","1448","Qualidade na Escola","22720000","Gestão e Administração do Programa","22720001","Nacional","0000","-",205,"-"
2008,871161,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","126","Tecnologia da Informação","1067","Gestão da Política de Educação","41720000","Serviços de Comunicação da Rede Nacional de Ensino e Pesquisa",,,"2637","Ponto de rede mantido",73,"unidade"
2008,871309,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","126","Tecnologia da Informação","1067","Gestão da Política de Educação","41720000","Serviços de Comunicação da Rede Nacional de Ensino e Pesquisa","41720001","Nacional","2637","Ponto de rede mantido",73,"unidade"
2008,891148,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","128","Formação de Recursos Humanos","1061","Brasil Escolarizado","84340000","Produção e Veiculação de Programas, Materiais Pedagógicos e de Conteúdos Multimídia para a Educação Pública",,,"ABGI","Material multimídia disponibilizado",1,"unidade"
2008,891380,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","128","Formação de Recursos Humanos","1061","Brasil Escolarizado","84340000","Produção e Veiculação de Programas, Materiais Pedagógicos e de Conteúdos Multimídia para a Educação Pública","84340001","Nacional","ABGI","Material multimídia disponibilizado",1,"unidade"
2008,828097,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","128","Formação de Recursos Humanos","1067","Gestão da Política de Educação","45720000","Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação",,,"1671","Servidor capacitado",2,"unidade"
2008,830683,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","128","Formação de Recursos Humanos","1067","Gestão da Política de Educação","45720000","Capacitação de Servidores Públicos Federais em Processo de Qualificação e Requalificação","45720001","Nacional","1671","Servidor capacitado",2,"unidade"
2008,828015,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","131","Comunicação Social","1060","Brasil Alfabetizado e Educação de Jovens e Adultos","46410000","Publicidade de Utilidade Pública",,,"0000","-",205,"-"
2008,830815,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","131","Comunicação Social","1060","Brasil Alfabetizado e Educação de Jovens e Adultos","46410000","Publicidade de Utilidade Pública","46410001","Nacional","0000","-",205,"-"
2008,828016,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","131","Comunicação Social","1062","Desenvolvimento da Educação Profissional e Tecnológica","46410000","Publicidade de Utilidade Pública",,,"0000","-",205,"-"
2008,830816,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","131","Comunicação Social","1062","Desenvolvimento da Educação Profissional e Tecnológica","46410000","Publicidade de Utilidade Pública","46410001","Nacional","0000","-",205,"-"
2008,836349,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","131","Comunicação Social","1067","Gestão da Política de Educação","46410000","Publicidade de Utilidade Pública",,,"0000","-",205,"-"
2008,836350,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","131","Comunicação Social","1067","Gestão da Política de Educação","46410000","Publicidade de Utilidade Pública","46410001","Nacional","0000","-",205,"-"
2008,846341,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","131","Comunicação Social","1374","Desenvolvimento da Educação Especial","46410000","Publicidade de Utilidade Pública",,,"0000","-",205,"-"
2008,848793,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","131","Comunicação Social","1374","Desenvolvimento da Educação Especial","46410000","Publicidade de Utilidade Pública","46410001","Nacional","0000","-",205,"-"
2008,241563,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","212","Cooperação Internacional","0681","Gestão da Participação em Organismos Internacionais","00570000","Contribuição à Organização dos Estados Ibero-Americanos para a Educação, a Ciência e a Cultura - OEI",,,"0000","-",205,"-"
2008,241575,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","212","Cooperação Internacional","0681","Gestão da Participação em Organismos Internacionais","00570000","Contribuição à Organização dos Estados Ibero-Americanos para a Educação, a Ciência e a Cultura - OEI","00570001","Nacional","0000","-",205,"-"
2008,888971,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","212","Cooperação Internacional","0681","Gestão da Participação em Organismos Internacionais","007B0000","Contribuição ao Programa das Nações Unidas para o Desenvolvimento - PNUD",,,"0000","-",205,"-"
2008,888972,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","212","Cooperação Internacional","0681","Gestão da Participação em Organismos Internacionais","007B0000","Contribuição ao Programa das Nações Unidas para o Desenvolvimento - PNUD","007B0001","Nacional","0000","-",205,"-"
2008,234206,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","212","Cooperação Internacional","0681","Gestão da Participação em Organismos Internacionais","01450000","Contribuição à Organização dos Estados Americanos - OEA",,,"0000","-",205,"-"
2008,221621,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","212","Cooperação Internacional","0681","Gestão da Participação em Organismos Internacionais","01450000","Contribuição à Organização dos Estados Americanos - OEA","01450001","Nacional","0000","-",205,"-"
2008,130030,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","212","Cooperação Internacional","0681","Gestão da Participação em Organismos Internacionais","01530000","Contribuição à Organização das Nações Unidas para a Educação, a Ciência e a Cultura - UNESCO",,,"0000","-",205,"-"
2008,221613,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","212","Cooperação Internacional","0681","Gestão da Participação em Organismos Internacionais","01530000","Contribuição à Organização das Nações Unidas para a Educação, a Ciência e a Cultura - UNESCO","01530001","Nacional","0000","-",205,"-"
2008,888998,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","212","Cooperação Internacional","0681","Gestão da Participação em Organismos Internacionais","01910000","Contribuição à Rede de Informação Tecnológica Latino-Americana - RITLA",,,"0000","-",205,"-"
2008,888999,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","212","Cooperação Internacional","0681","Gestão da Participação em Organismos Internacionais","01910000","Contribuição à Rede de Informação Tecnológica Latino-Americana - RITLA","01910001","Nacional","0000","-",205,"-"
2008,808960,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","212","Cooperação Internacional","0681","Gestão da Participação em Organismos Internacionais","03640000","Contribuição ao Fundo para o Setor Educacional do MERCOSUL",,,"0000","-",205,"-"
2008,808993,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","212","Cooperação Internacional","0681","Gestão da Participação em Organismos Internacionais","03640000","Contribuição ao Fundo para o Setor Educacional do MERCOSUL","03640001","Nacional","0000","-",205,"-"
2008,882448,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","212","Cooperação Internacional","0681","Gestão da Participação em Organismos Internacionais","0E440000","Contribuição ao Fundo das Nações Unidas para a Infância - UNICEF",,,"0000","-",205,"-"
2008,883130,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","212","Cooperação Internacional","0681","Gestão da Participação em Organismos Internacionais","0E440000","Contribuição ao Fundo das Nações Unidas para a Infância - UNICEF","0E440056","Nacional","0000","-",205,"-"
2008,828211,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","306","Alimentação e Nutrição","0750","Apoio Administrativo","20120000","Auxílio-Alimentação aos Servidores e Empregados",,,"0700","Servidor beneficiado",4,"unidade"
2008,830420,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","306","Alimentação e Nutrição","0750","Apoio Administrativo","20120000","Auxílio-Alimentação aos Servidores e Empregados","20120053","No Distrito Federal","0700","Servidor beneficiado",4,"unidade"
2008,828208,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","331","Proteção e Benefícios ao Trabalhador","0750","Apoio Administrativo","20110000","Auxílio-Transporte aos Servidores e Empregados",,,"0700","Servidor beneficiado",4,"unidade"
2008,830417,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","331","Proteção e Benefícios ao Trabalhador","0750","Apoio Administrativo","20110000","Auxílio-Transporte aos Servidores e Empregados","20110053","No Distrito Federal","0700","Servidor beneficiado",4,"unidade"
2008,891157,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","10FJ0000","Implantação da Escola Agrotécnica  Federal de São Raimundo das Mangabeiras - MA",,,"9267","Escola implantada",191,"unidade"
2008,891386,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","10FJ0000","Implantação da Escola Agrotécnica  Federal de São Raimundo das Mangabeiras - MA","10FJ0101","No Município de São Raimundo das Mangabeiras - MA","9267","Escola implantada",191,"unidade"
2008,891189,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","10FU0000","Implantação da Escola Técnica Federal de Brasília",,,"9267","Escola implantada",191,"unidade"
2008,891531,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","10FU0000","Implantação da Escola Técnica Federal de Brasília","10FU0053","No Distrito Federal","9267","Escola implantada",191,"unidade"
2008,880418,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","1H070000","Implantação da Escola Agrotécnica Federal de Marabá - PA",,,"9267","Escola implantada",191,"unidade"
2008,880487,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","1H070000","Implantação da Escola Agrotécnica Federal de Marabá - PA","1H070101","No Município de Marabá - PA","9267","Escola implantada",191,"unidade"
2008,880424,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","1I710000","Implantação da Escola Técnica Federal do Mato Grosso do Sul",,,"9267","Escola implantada",191,"unidade"
2008,891385,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","1I710000","Implantação da Escola Técnica Federal do Mato Grosso do Sul","1I710101","No Município de Campo Grande - MS","9267","Escola implantada",191,"unidade"
2008,880425,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","1I730000","Implantação da Escola Técnica Federal do Acre",,,"9267","Escola implantada",191,"unidade"
2008,891387,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","1I730000","Implantação da Escola Técnica Federal do Acre","1I730101","No Município de Rio Branco - AC","9267","Escola implantada",191,"unidade"
2008,880426,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","1I740000","Implantação da Escola Técnica Federal do Amapá",,,"9267","Escola implantada",191,"unidade"
2008,891388,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","1I740000","Implantação da Escola Técnica Federal do Amapá","1I740101","No Município de Macapá - AP","9267","Escola implantada",191,"unidade"
2008,880427,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","1I750000","Implantação da Escola Técnica Federal de Canoas - RS",,,"9267","Escola implantada",191,"unidade"
2008,881390,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","1I750000","Implantação da Escola Técnica Federal de Canoas - RS","1I750101","No Município de Canoas - RS","9267","Escola implantada",191,"unidade"
2008,880428,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","1I770000","Implantação da Escola Técnica Federal de Rondônia",,,"9267","Escola implantada",191,"unidade"
2008,880498,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","1I770000","Implantação da Escola Técnica Federal de Rondônia","1I770011","No Estado de Rondônia","9267","Escola implantada",191,"unidade"
2008,880429,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","1I780000","Implantação da Escola Agrotécnica Federal de Nova Andradina - MS",,,"9267","Escola implantada",191,"unidade"
2008,880499,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","1I780000","Implantação da Escola Agrotécnica Federal de Nova Andradina - MS","1I780101","No Município de Nova Andradina - MS","9267","Escola implantada",191,"unidade"
2008,896947,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","20AW0000","Implementação e Manutenção do Sistema de Informação da Educação Profissional",,,"8258","Subsistema implantado",172,"unidade"
2008,896948,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","20AW0000","Implementação e Manutenção do Sistema de Informação da Educação Profissional","20AW0001","Nacional","8258","Subsistema implantado",172,"unidade"
2008,830211,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","63530000","Formação de Técnicos Empreendedores na Educação Profissional e Tecnológica",,,"AABS","Projetos implementados",1,"unidade"
2008,832855,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","63530000","Formação de Técnicos Empreendedores na Educação Profissional e Tecnológica","63530001","Nacional","AABS","Projetos implementados",1,"unidade"
2008,894601,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","63580000","Capacitação de Recursos Humanos da Educação Profissional",,,"1198","Pessoa capacitada",4,"unidade"
2008,894604,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","63580000","Capacitação de Recursos Humanos da Educação Profissional","63580001","Nacional","1198","Pessoa capacitada",4,"unidade"
2008,832965,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","63800000","Fomento ao Desenvolvimento da Educação Profissional",,,"0424","Instituição apoiada",2,"unidade"
2008,832969,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","63800000","Fomento ao Desenvolvimento da Educação Profissional","63800001","Nacional","0424","Instituição apoiada",2,"unidade"
2008,891190,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","86500000","Reestruturação da Rede Federal de Educação Profissional e Tecnológica",,,"0827","Unidade reestruturada",2,"unidade"
2008,891532,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","86500000","Reestruturação da Rede Federal de Educação Profissional e Tecnológica","86500001","Nacional","0827","Unidade reestruturada",2,"unidade"
2008,891191,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","86520000","Modernização das Redes Públicas Estadual e Municipal de Educação Profissional e Tecnológica",,,"ABEK","Escola modernizada",1,"unidade"
2008,891533,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","363","Ensino Profissional","1062","Desenvolvimento da Educação Profissional e Tecnológica","86520000","Modernização das Redes Públicas Estadual e Municipal de Educação Profissional e Tecnológica","86520001","Nacional","ABEK","Escola modernizada",1,"unidade"
2008,891199,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","364","Ensino Superior","1073","Brasil Universitário","009E0000","Concessão de Benefício a Estudantes Estrangeiros em Graduação no Brasil",,,"0051","Bolsa concedida",1,"unidade"
2008,891307,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","364","Ensino Superior","1073","Brasil Universitário","009E0000","Concessão de Benefício a Estudantes Estrangeiros em Graduação no Brasil","009E0001","Nacional","0051","Bolsa concedida",1,"unidade"
2008,869922,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","364","Ensino Superior","1073","Brasil Universitário","0A120000","Concessão de Bolsa de Permanência no Ensino Superior",,,"0051","Bolsa concedida",1,"unidade"
2008,869923,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","364","Ensino Superior","1073","Brasil Universitário","0A120000","Concessão de Bolsa de Permanência no Ensino Superior","0A120001","Nacional","0051","Bolsa concedida",1,"unidade"
2008,880477,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","364","Ensino Superior","1073","Brasil Universitário","1H960000","Implantação da Universidade Federal do Pampa",,,"8038","Vaga disponibilizada",78,"unidade"
2008,880560,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","364","Ensino Superior","1073","Brasil Universitário","1H960000","Implantação da Universidade Federal do Pampa","1H960043","No Estado do Rio Grande do Sul","8038","Vaga disponibilizada",78,"unidade"
2008,897012,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","364","Ensino Superior","1073","Brasil Universitário","40020000","Assistência ao Estudante do Ensino de Graduação",,,"2417","Aluno assistido",1,"unidade"
2008,897013,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","364","Ensino Superior","1073","Brasil Universitário","40020000","Assistência ao Estudante do Ensino de Graduação","40020001","Nacional","2417","Aluno assistido",1,"unidade"
2008,828126,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","364","Ensino Superior","1073","Brasil Universitário","40050000","Apoio à Residência Multifuncional",,,"2902","Médico-residente mantido",2,"unidade"
2008,830649,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","364","Ensino Superior","1073","Brasil Universitário","40050000","Apoio à Residência Multifuncional","40050001","Nacional","2902","Médico-residente mantido",2,"unidade"
2008,828108,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","364","Ensino Superior","1073","Brasil Universitário","44130000","Treinamento Especial para Alunos de Graduação de Entidades de Ensino Superior (PET)",,,"0047","Aluno treinado",1,"unidade"
2008,830694,"10","26000O","Ministério da Educação","26101U","Ministério da Educação","12","Educação","364","Ensino Superior","1073","Brasil Universitário","44130000","Treinamento Especial para Alunos de Graduação de Entidades de Ensino Superior (PET)","44130001","Nacional","0047","Aluno treinado",1,"unidade"
