2702306;Biblioteca Municipal Doutor Luiz Ramalho dos Reis;Rua Lindolfo Simões;443;Coruripe;Alagoas;57230-000;Brazil;(82) 3273-2416;;;0;AL;;0
2702355;Biblioteca Pública Municipal;Pç. São Pedro;s/n;Craíbas;Alagoas;35732-000;Brazil;(82) 3527-1182;;;0;AL;;0
2702405;Biblioteca Pública Municipal Iêda Damasceno;Rua José Bonifácio;102;Delmiro Gouveia;Alagoas;57480-000;Brazil;(82) 3641-2349;;;0;AL;;0
2702504;Biblioteca Pública Municipal;Av. Miguel Vieira de Novais;s/n;Dois Riachos;Alagoas;57560-000;Brazil;(82) 3620-1486;(82) 3620-1486;;0;AL;;0
2702553;Biblioteca Pública Municipal Desembargador Hélio Cabral;Pç. Luiz Duarte;110;Estrela de Alagoas;Alagoas;57625-000;Brazil;(82) 3420-1175;;;0;AL;;0
2702702;Biblioteca Pública Municipal Aleixo de Araújo Lessa;Pç. Domingos Mendes;s/n;Feliz Deserto;Alagoas;57220-000;Brazil;;;;0;AL;;0
2702801;Biblioteca Pública Municipal de Flexeiras;Rua Coronel Alcântara;s/n;Flexeiras;Alagoas;57995-000;Brazil;;;;0;AL;;0
2702900;Biblioteca Pública Professor Claonilton Vieira;Rua da Matriz;s/n;Girau do Ponciano;Alagoas;57360-000;Brazil;(82) 3520-1614;(82) 3520-1324;;0;AL;;0
2703007;Biblioteca Municipal José Luís Lessa da Silva;Rua Doutor Janete de Araújo;779;Ibateguara;Alagoas;57890-000;Brazil;;;;0;AL;;0
2703106;Biblioteca Pública Municipal Izabel Barbosa Calixto;Pç. Antônio Toledo;s/n;Igaci;Alagoas;57620-000;Brazil;(82) 9641-5310;;;0;AL;;0
2703304;Biblioteca Pública Municipal Professor Paulo Freire;Rua Padre Cícero;s/n;Inhapi;Alagoas;57545-000;Brazil;(82) 3645-1566;;;0;AL;;0
2703403;Biblioteca Pública Professora Josefa Duarte Monteiro;Av. José Alves Cazé;s/n;Jacaré dos Homens;Alagoas;57430-000;Brazil;;;;0;AL;;0
2703502;Biblioteca Pública Municipal de Jacuípe;Rua Miguel Morato;35;Jacuípe;Alagoas;57790-000;Brazil;(82) 9334-2061;;;0;AL;;0
2703601;Biblioteca Municipal Maria da Apresentação Trindade;Rua Maria das Mercês;s/n;Japaratinga;Alagoas;57950-000;Brazil;(82) 3297-1466;(82) 3297-1466;;0;AL;;0
2703700;Biblioteca Pública Municipal Padre Joseval Mendes da Silva;Rua do Comércio;s/n;Jaramataia;Alagoas;57425-000;Brazil;;;;0;AL;;0
2703759;Biblioteca Pública Municipal;Rua Boa Vista;s/n;Jequiá da Praia;Alagoas;57244-000;Brazil;(82) 3276-5262;;;0;AL;;0
2703809;Biblioteca Pública Municipal Professora Rosilda Maria Lins;Rua José Correia de Araújo;50;Joaquim Gomes;Alagoas;57980-000;Brazil;(82) 3827-0843;;;0;AL;;0
2703908;Biblioteca Pública Municipal Maria de Lourdes Rufino;Rua Projetada;7;Jundiá;Alagoas;57965-000;Brazil;(81) 3257-1039;;;0;AL;;0
2704104;Biblioteca Pública Municipal Ângelo Rodrigues de Melo;Rua Vicente Ferreira de Farias;34;Lagoa da Canoa;Alagoas;53330-000;Brazil;(82) 3528-1342;(82) 3528-1342;;0;AL;;0
2704302;Biblioteca Pública Municipal Carlos Moliterno;Rua General Hermes;1198;Maceió;Alagoas;57017-000;Brazil;(82) 3315-4581;(82) 3315-4581;;0;AL;;0
2704302;Biblioteca Pública Municipal Eduardo Almeida Caic Ufal;Rua Campus Universitário A.C.Simões 104 Km 14;s/n;Maceió;Alagoas;57080-000;Brazil;(82) 3315-4659;(82) 3315-4659;;0;AL;;0
2704302;Biblioteca Pública Municipal Estação do Saber Nádia Amorim;Av. Pratagi;807;Maceió;Alagoas;57084-040;Brazil;(82) 9308-5528;;;0;AL;;0
2704401;Biblioteca Pública Municipal Doutor Pedro Edson do Amaral;Rua Antônio Pereira Souza;28;Major Isidoro;Alagoas;57580-000;Brazil;;;;0;AL;;0
2704906;Biblioteca Pública Municipal Guimarães Passos;Rua Coronel Álvaro Almeida;s/n;Mar Vermelho;Alagoas;57730-000;Brazil;(82) 9926-8308;;;0;AL;;0
2704500;Biblioteca Pública Municipal Doutor José Luís Beltrão Mavignier;Pç. Batista Acioly;23;Maragogi;Alagoas;57955-000;Brazil;;;;0;AL;;0
2704609;Biblioteca Pública Municipal Petronila Barbosa de Carvalho;Rua Herculino Carvalho;s/n;Maravilha;Alagoas;55520-000;Brazil;(82) 3625-1260;;;0;AL;;0
2704708;Biblioteca Pública Municipal Doutor Tavares Bastos;Rua Doutor Tavares Bastos;s/n;Marechal Deodoro;Alagoas;57160-000;Brazil;(82) 9607-6336;;;0;AL;;0
2704807;Biblioteca Pública Municipal Manoel Miguel da Silva;Rua Professor Manoel Miguel da Silva;35;Maribondo;Alagoas;57670-000;Brazil;(82) 3270-1263;;;0;AL;;0
2705002;Biblioteca Pública Municipal Floriano Peixoto;Rua Ubaldo Malta;107;Mata Grande;Alagoas;57540-000;Brazil;(82) 3642-1122;(82) 3642-1296;;0;AL;;0
2705101;Biblioteca Pública Municipal Doutor Luiz Carlos Ernesto Maranhão;Pç. Bom Jesus;s/n;Matriz de Camaragibe;Alagoas;57910-000;Brazil;(82) 3251-1665;;;0;AL;;0
2705200;Biblioteca Pública Municipal Afrânio Lopes;Pç. Benedito Peixoto Camarão;s/n;Messias;Alagoas;57990-000;Brazil;(82) 3262-1387;(82) 3262-1570;;0;AL;;0
2705408;Biblioteca Pública Municipal Monteirópolis;Rua do Comércio;34;Monteirópolis;Alagoas;57440-000;Brazil;;;;0;AL;;0
2705507;Biblioteca Pública Municipal Mozart Damasceno;Rua do Comércio;s/n;Murici;Alagoas;57920-000;Brazil;(82) 9147-2355;;;0;AL;;0
2705606;Biblioteca Pública Ludovico Soares de Medeiros;Av. Antônio Carlos da Silva;s/n;Novo Lino;Alagoas;57970-000;Brazil;(82) 3253-1185;;;0;AL;;0
2705705;Biblioteca Pública Municipal Anna Maria Paes Barreto dos Anjos;Rua 6 de Fevereiro;s/n;Olho d'Água das Flores;Alagoas;57442-000;Brazil;;;;0;AL;;0
2705804;Biblioteca Pública Municipal Maria das Dores Leite;Av. Guiomar Brito;s/n;Olho D'água do Casado;Alagoas;57470-000;Brazil;(82) 3643-1196;;;0;AL;;0
2705903;Biblioteca Pública Municipal Professor Pedro Reis;Rua do Comércio;s/n;Olho d'Água Grande;Alagoas;57390-000;Brazil;(82) 3535-0025;;;0;AL;;0
2706109;Biblioteca Pública Municipal Audálio Rodrigues;Rua do Comércio;206;Ouro Branco;Alagoas;57525-000;Brazil;;;;0;AL;;0
2706208;Biblioteca Pública Municipal Rui Barbosa;Rua Pedro Félix de Melo;490;Palestina;Alagoas;57410-000;Brazil;(82) 3631-1151;(82) 3631-1151;;0;AL;;0
2706307;Biblioteca Pública Municipal Graciliano Ramos;Rua Luiz Pinto de Andrade;s/n;Palmeira dos Índios;Alagoas;57600-200;Brazil;(82) 3421-4867;(82) 3420-1175;;0;AL;;0
2706406;Biblioteca Pública Escritor Aldemar de Mendonça;Av. Bráulio Cavalcante;s/n;Pão de Açúcar;Alagoas;57400-000;Brazil;;;;0;AL;;0
2706422;Biblioteca Pública Municipal de Pariconha;Rua Manoel Francisco dos Santos;s/n;Pariconha;Alagoas;57475-000;Brazil;(82) 3647-1110;(82) 3647-1110;;0;AL;;0
2706448;Biblioteca Pública Municipal Pedro Reis;Rua Projetada;s/n;Paripueira;Alagoas;57000-935;Brazil;(82) 3293-1991;;;0;AL;;0
2706505;Biblioteca Pública Municipal Aurélio Buarque de Holanda Ferreira;Rua Doutor Xavier;s/n;Passo de Camaragibe;Alagoas;57930-000;Brazil;(82) 3258-1664;;;0;AL;;0
2706604;Biblioteca Pública Municipal Antônio de Souza Barbosa;Rua São José;s/n;Paulo Jacinto;Alagoas;57740-000;Brazil;(82) 3282-1392;;;0;AL;;0
2706802;Biblioteca Pública de Piaçabuçu;Rua Boa Vista;s/n;Piaçabuçu;Alagoas;57210-000;Brazil;;;;0;AL;;0
2706901;Biblioteca Pública Municipal Arthur Ramos;Rua Luís Ramos;s/n;Pilar;Alagoas;57150-000;Brazil;(82) 3265-3043;;;0;AL;;0
2707008;Biblioteca Pública José Brás da Costa;Rua da Paz;s/n;Pindoba;Alagoas;57720-970;Brazil;(82) 3280-5079;;;0;AL;;0
2707107;Biblioteca Pública Municipal Doutor Antônio Nunes Lisboa;Rua José Martiniano Vasco;s/n;Piranhas;Alagoas;57460-000;Brazil;(82) 3686-3013;(82) 3686-3013;;0;AL;;0
2707206;Biblioteca Pública Municipal Teotônio Vilela;Pç. Leopoldo Wanderley;s/n;Poço das Trincheiras;Alagoas;57520-000;Brazil;;;;0;AL;;0
2707305;Biblioteca Municipal Senador Teotônio Vilela Filho;Pç. Paulino Silva;s/n;Porto Calvo;Alagoas;57900-000;Brazil;(82) 3292-1227;(82) 3292-1227;;0;AL;;0
2707503;Biblioteca Pública Municipal Enoy Magalhães Bitencourt;Av. Moacyr Andrade;s/n;Porto Real do Colégio;Alagoas;57290-000;Brazil;;;;0;AL;;0
2707602;Biblioteca Pública Municipal Graciliano Ramos;Av. Cícero de Goes Monteiro;139;Quebrangulo;Alagoas;57750-000;Brazil;(82) 9626-3556;;;0;AL;;0
2707800;Biblioteca Sesi Indústria do Conhecimento;Rua Vereador Nemésio Gomes;42;Roteiro;Alagoas;57246-000;Brazil;;;;0;AL;;0
2707909;Biblioteca Pública Municipal Lindinalva Romeiro;Rua Estevão Portamarte Brito;s/n;Santa Luzia do Norte;Alagoas;57130-000;Brazil;(82) 3268-1320;;;0;AL;;0
2708006;Biblioteca Pública Municipal Breno Accioly;Rua Coronel Lucena;141;Santana do Ipanema;Alagoas;57500-000;Brazil;;;;0;AL;;0
2708204;Biblioteca Pública Municipal Artur Santana;Rua São José;s/n;São Brás;Alagoas;57380-000;Brazil;(82) 3553-1101;;;0;AL;;0
2708303;Biblioteca Pública Municipal Doutor Fernando Galvão de Pontes;Av. da Saudade;s/n;São José da Laje;Alagoas;57860-000;Brazil;(82) 3285-1322;;;0;AL;;0
2708402;Biblioteca Municipal Lucilo José Ribeiro;Rua Boa Vista;58;São José da Tapera;Alagoas;57445-000;Brazil;;;;0;AL;;0
2708501;Biblioteca Municipal Emílio Machado da Cunha;Rua Capitão Samuel Cunha Lins;s/n;São Luís do Quitunde;Alagoas;57920-000;Brazil;(82) 3254-1108;(82) 3254-1108;;0;AL;;0
2708600;Biblioteca Pública Municipal Guiomar Alcides de Castro;Rua Visconde de Simibu;60;São Miguel dos Campos;Alagoas;57240-000;Brazil;(82) 3271-1990;;;0;AL;;0
2708600;Biblioteca Pública Municipal Monsenhor Hildebrando Guimarães;Rua Visconde de Sinimbu;s/n;São Miguel dos Campos;Alagoas;57240-000;Brazil;(82) 3271-4786;;;0;AL;;0
2708709;Biblioteca Municipal Aurenice da Silva Santos;Rua Prefeito Augusto de Barros Falcão;s/n;São Miguel dos Milagres;Alagoas;57940-000;Brazil;(82) 3292-1212;(82) 3292-1212;;0;AL;;0
2708907;Biblioteca Pública Municipal Maria das Dores Magalhães Silva;Rua 17 de Agosto;s/n;Satuba;Alagoas;57120-000;Brazil;(82) 8864-6423;;;0;AL;;0
2708956;Biblioteca Pública Municipal;Rua do Comércio;55;Senador Rui Palmeira;Alagoas;37515-000;Brazil;;;;0;AL;;0
2709004;Biblioteca Pública Municipal Nossa Senhora Mãe do Povo;Rua São Sebastião;76;Tanque d'Arca;Alagoas;57635-000;Brazil;(82) 3278-1116;;;0;AL;;0
2709103;Biblioteca Pública Municipal Professora Benedita Barbosa;Pç. João Angelino dos Santos;s/n;Taquarana;Alagoas;57640-000;Brazil;(82) 3425-1132;;;0;AL;;0
2709202;Biblioteca Pública Municipal Onofre Tavares Bastos;Rua Senador Serapião;s/n;Traipu;Alagoas;57370-000;Brazil;(82) 3536-1132;;;0;AL;;0
2709301;Biblioteca Pública Municipal Jorge de Lima;Pç. Basiliano Sarmento;s/n;União dos Palmares;Alagoas;57800-000;Brazil;;;;0;AL;;0
2709400;Biblioteca Municipal de Viçosa;Av. Firmino Maia;s/n;Viçosa;Alagoas;57700-000;Brazil;(82) 3283-1459;;;0;AL;;0
1600105;Biblioteca Municipal Castro Alves;Rua Guarani;s/n;Amapá;Amapá;68950-000;Brazil;(96) 3421-1567;;;0;AP;;0
1600204;Biblioteca Ambiental Saturmio dos Anjos Sarmento;R. João Anastácio dos santos;2407;Calçoene;Amapá;68960-000;Brazil;(96) 3423-1225;;;0;AP;;0
1600253;Biblioteca Pública Nara Lúcia Ferreira Camarão;Rua Raimundo Valério;s/n;Itaubal;Amapá;68976-000;Brazil;(96) 3324-1280;;;0;AP;;0
1600303;Biblioteca Pública Municipal Aracy Miranda de Mont'Alverne;Av. Cora de Carvalho;1842;Macapá;Amapá;68906-000;Brazil;(96) 3212-1130;;;0;AP;;0
1600303;Biblioteca Pública Municipal de Macapá;Rua Eliezer Levy;1610;Macapá;Amapá;68906-000;Brazil;(96) 8121-7710;;;0;AP;;0
1600402;Biblioteca Pública Ambiental;Av. Presidente Vargas;s/n;Mazagão;Amapá;68940-000;Brazil;(96) 9145-9512;;;0;AP;;0
1600501;Biblioteca Pública Ambiental;R. presidente kenedy;s/n;Oiapoque;Amapá;68960-000;Brazil;(96) 9912-6946;;;0;AP;;0
1600154;Biblioteca Ambiental Pedra Branca do Amapari;Av. Deolinda Gomes;s/n;Pedra Branca do Amapari;Amapá;68945-000;Brazil;(96) 3322-1234;;;0;AP;;0
1600535;Biblioteca Pública Municipal do Porto Grande;Av. 8 de Agosto;792;Porto Grande;Amapá;68997-000;Brazil;(96) 9115-6980;;;0;AP;;0
1600600;Biblioteca Pública Municipal de Santana;Av. Antônio Nunes;1206;Santana;Amapá;68925-000;Brazil;(96) 9119-9292;(96) 3281-3484;;0;AP;;0
1600709;Biblioteca Pública Municipal de Tartarugalzinho;Rua Mãe Verônica;382;Tartarugalzinho;Amapá;68990-000;Brazil;(96) 3422-1171;;;0;AP;;0
1300102;Biblioteca Pública Municipal Rui Barbosa;Rua Professor Januário Nazaré;s/n;Anori;Amazonas;69440-000;Brazil;(97) 3352-1808;;;0;AM;;0
1300144;Biblioteca Pública Municipal Coriolando Fadoul;Rua Acari;s/n;Apuí;Amazonas;69265-000;Brazil;(97) 3389-1311;;;0;AM;;0
1300201;Biblioteca Pública Municipal Antônio de Souza Braga;Rua Augusto Luzeiro;s/n;Atalaia do Norte;Amazonas;69650-000;Brazil;(97) 3417-1191;;;0;AM;;0
1300409;Biblioteca Municipal Alexandre Ambrósio;Rua Durval Porto;s/n;Barcelos;Amazonas;69700-000;Brazil;(97) 3321-1653;(97) 3321-1796;;0;AM;;0
1300508;Biblioteca Memorial Thiago de Mello;Av. Espanha;s/n;Barreirinha;Amazonas;69160-000;Brazil;(92) 9106-2359;;;0;AM;;0
1300607;Biblioteca Pública Municipal Francisco Soares de Assis;Av. Castelo Branco;s/n;Benjamin Constant;Amazonas;69630-000;Brazil;(97) 3415-5333;;;0;AM;;0
1300680;Biblioteca Municipal Padre Gabriel Modica;Rua Senador Jos;s/n;Boa Vista do Ramos;Amazonas;69195-000;Brazil;(92) 9121-9995;(92) 3545-5385;;0;AM;;0
1301001;Biblioteca Pública Municipal;Rua Jorge Alves;s/n;Carauari;Amazonas;69500-000;Brazil;(97) 3491-1040;(97) 3491-1019;;0;AM;;0
1301308;Biblioteca Pública Municipal Mozart Farias;Rua Getúlio Vargas;141;Codajás;Amazonas;69450-970;Brazil;(92) 9153-6705;;;0;AM;;0
1301407;Biblioteca Pública Municipal Machado de Assis;Rua Felipe Cunha;s/n;Eirunepé;Amazonas;69880-000;Brazil;(97) 3481-1567;(97) 3481-1169;;0;AM;;0
1301506;Biblioteca Pública Municipal Esmerinda;Rua Lupercínio Mariano;s/n;Envira;Amazonas;69870-000;Brazil;(97) 3483-1776;;;0;AM;;0
1301605;Biblioteca Pública Municipal Oscar de Paula Portela;Rua Francisco Pereira de Souza;s/n;Fonte Boa;Amazonas;69670-000;Brazil;(97) 3422-1802;(97) 3422-1802;;0;AM;;0
1301704;Biblioteca Pública Municipal Poeta José Maria Ferreira de Castro;Rua Marechal Deodoro;18;Humaitá;Amazonas;69800-000;Brazil;(97) 9183-0346;;;0;AM;;0
1301902;Biblioteca Municipal Manuel Anízio Jobim;Rua Isaac Peres;2211;Itacoatiara;Amazonas;69100-000;Brazil;(92) 3521-3662;;;0;AM;;0
1302009;Biblioteca Municipal Miguel Batista de Oliveira;Av. Nazaré;s/n;Itapiranga;Amazonas;69120-009;Brazil;(92) 9159-9033;;;0;AM;;0
1302207;Biblioteca Pública Municipal Marlene Goes Damasceno;Rua Francisco de Paula;s/n;Juruá;Amazonas;69520-000;Brazil;(97) 3427-1007;(97) 3427-1061;;0;AM;;0
1302504;Biblioteca Pública Municipal Elizabeth Lima de Almeida;Av. Pedro Rates de Oliveira;753;Manacapuru;Amazonas;69040-000;Brazil;(92) 9219-8959;;;0;AM;;0
1302603;Biblioteca Municipal Professor João Bosco Pantoja Evangelista;Rua Monsenhor Coutinho;524;Manaus;Amazonas;69010-110;Brazil;(92) 3215-4615;(92) 3215-4615;;0;AM;;0
1302702;Biblioteca Pública Municipal Raimunda -  Raimundo do Rosário;Pç. Rui Araújo;s/n;Manicoré;Amazonas;69280-000;Brazil;(97) 8801-5430;;;0;AM;;0
1302900;Biblioteca Pública Municipal Almir Gomes de Almeida;Rua Boa Vista;s/n;Maués;Amazonas;69190-000;Brazil;(92) 3542-1161;(92) 3542-1161;;0;AM;;0
1303403;Biblioteca Pública Municipal Tonzinho Saunier;Av. Nações Unidas;s/n;Parintins;Amazonas;69151-060;Brazil;(92) 8133-9479;;;0;AM;;0
1303957;Biblioteca Municipal Ildefonso Carneiro;Rua Professor Bartolomeu;s/n;São Sebastião do Uatumã;Amazonas;69135-000;Brazil;(92) 9207-2497;;;0;AM;;0
1304302;Biblioteca Pública Municipal Professora Maria das Graças Santos Marques;Rua Desdedith;s/n;Urucará;Amazonas;69130-000;Brazil;(92) 9133-4994;;;0;AM;;0
2900306;Biblioteca Municipal Machado de Assis;Pç. Antônio da Costa Brito;s/n;Acajutiba;Bahia;48360-000;Brazil;;;;0;BA;;0
2900355;Biblioteca Municipal Professora Dejanira Virgens Vidal;Rua Maria José Ribeiro de Jesus;167;Adustina;Bahia;48435-000;Brazil;(75) 3496-2147;;;0;BA;;0
2900405;Biblioteca Pública Municipal de Água Fria;Av. Pataíba;s/n;Água Fria;Bahia;48170-000;Brazil;(75) 3294-2117;;;0;BA;;0
2900603;Biblioteca Municipal Jecelino Nogueira;Largo de São Francisco;s/n;Aiquara;Bahia;45200-000;Brazil;(73) 3547-2033;;;0;BA;;0
2900702;Biblioteca Pública Municipal Maria Feijó;Pç. Ruy Barbosa;s/n;Alagoinhas;Bahia;48010-130;Brazil;(75) 3423-8374;(75) 3423-8374;;0;BA;;0
2900801;Biblioteca Pública Municipal Doutor Marx Fazzer;Rua Padre José Porfírio;s/n;Alcobaça;Bahia;45990-000;Brazil;(73) 3293-1490;;;0;BA;;0
2900900;Biblioteca Pública Municipal;Rua Antônio Batista;s/n;Almadina;Bahia;73324-711;Brazil;(73) 3247-1198;;;0;BA;;0
2901007;Biblioteca Pública Municipal Doutor Carlos Cohim;Rua Leobina Pimentel;161;Amargosa;Bahia;45300-000;Brazil;;;;0;BA;;0
2901106;Biblioteca Municipal Clóvis Amorim;Av. Presidente Kennedy;s/n;Amélia Rodrigues;Bahia;44230-000;Brazil;(75) 3242-2991;;;0;BA;;0
2901353;Biblioteca Pública Andorinhense;Rua José Corgosinho de Carvalho Filho;s/n;Andorinha;Bahia;48990-000;Brazil;(74) 3529-1060;;;0;BA;;0
2901403;Biblioteca Municipal Professora Ana de Brito;Rua Guilherme Rabelo;15;Angical;Bahia;47960-000;Brazil;(77) 3622-2036;;;0;BA;;0
2901908;Biblioteca Pública Municipal de Aporá;Rua José Inácio;s/n;Aporá;Bahia;48350-000;Brazil;(75) 3441-2209;(75) 3441-2209;;0;BA;;0
2902054;Biblioteca Pública Municipal Felix Mendonça;Pç. da Matriz;s/n;Araças;Bahia;48108-000;Brazil;;;;0;BA;;0
2902005;Biblioteca Municipal Manoel Silveira Maia;Rua Alexandre Souza Júnior;s/n;Aracatu;Bahia;46130-000;Brazil;(77) 3446-8502;(77) 3446-8502;;0;BA;;0
2902252;Biblioteca Pública Municipal Liberalino Barbosa Souto;Trav. Pedro Rosa;s/n;Arataca;Bahia;45695-000;Brazil;(73) 3673-1104;;;0;BA;;0
2902302;Biblioteca Municipal Castro Alves;Pç. José Alves da Silva;186;Aratuípe;Bahia;44490-000;Brazil;(75) 3647-2274;(75) 3647-2274;;0;BA;;0
2902609;Biblioteca Municipal Muniz Sodré;Av. Davi Saback;s/n;Baixa Grande;Bahia;40620-000;Brazil;(74) 3258-1509;;;0;BA;;0
2902708;Biblioteca Pública Municipal Plínio Mariani Guerreiro;Rua Marechal Deodoro;706;Barra;Bahia;47100-000;Brazil;;;;0;BA;;0
2902906;Biblioteca Municipal Roberto Santos;Rua João Antônio Amorim;s/n;Barra do Choça;Bahia;45120-000;Brazil;(77) 3436-1296;(77) 3436-1299;;0;BA;;0
2902906;Biblioteca Pública Municipal Bráulio Leite;Pç. dos Estudantes;s/n;Barra do Choça;Bahia;45120-000;Brazil;(77) 3436-1296;(77) 3436-1013;;0;BA;;0
2903003;Biblioteca Pública Municipal Edízio Mendonça;Av. Albérico Campos;s/n;Barra do Mendes;Bahia;44990-000;Brazil;;;;0;BA;;0
2903102;Biblioteca Pública Municipal Doutor Rômulo Galvão;Rua Vital Campos;77;Barra do Rocha;Bahia;45560-000;Brazil;;;;0;BA;;0
2903201;Biblioteca Pública Municipal Folk Rocha;Pç. Duque de Caxias;68;Barreiras;Bahia;47805-150;Brazil;(77) 3613-9840;;;0;BA;;0
2903201;Biblioteca Pública Municipal Professor Jézer Dias da Silva;Rua Barão de Cotegipe;1770;Barreiras;Bahia;47804-350;Brazil;(77) 3613-4353;(77) 3613-4353;;0;BA;;0
